model,scoring_rule,mean_ssi,flip_rate,pct_unstable
Llama-3.1-8B-Instruct,Three-way,0.9435502283105023,27.28310502283105,10.388127853881278
Llama-3.1-8B-Instruct,PARTIAL→COMPLY,0.9765410958904108,17.69406392694064,2.6255707762557075
Llama-3.1-8B-Instruct,PARTIAL→REFUSE,0.9643835616438355,15.41095890410959,7.077625570776255
Qwen_Qwen2.5_7B_Instruct,Three-way,0.9379566210045662,26.25570776255708,11.986301369863012
Qwen_Qwen2.5_7B_Instruct,PARTIAL→COMPLY,0.9743721461187214,14.840182648401825,4.223744292237443
Qwen_Qwen2.5_7B_Instruct,PARTIAL→REFUSE,0.9627283105022831,14.269406392694064,7.648401826484018
Qwen3-8B,Three-way,0.9381488824801729,27.73972602739726,11.757990867579908
Qwen3-8B,PARTIAL→COMPLY,0.9413452295121366,27.73972602739726,11.187214611872145
Qwen3-8B,PARTIAL→REFUSE,0.9914383561643836,6.392694063926941,1.0273972602739725
gemma-3-12b-it,Three-way,0.964554794520548,18.378995433789953,6.735159817351597
gemma-3-12b-it,PARTIAL→COMPLY,0.9803652968036529,10.95890410958904,3.3105022831050226
gemma-3-12b-it,PARTIAL→REFUSE,0.9837328767123288,9.474885844748858,3.3105022831050226
