model,threshold,pct_unstable
Qwen3-8B,0.7,8.561643835616438
Qwen3-8B,0.75,10.045662100456621
Qwen3-8B,0.8,11.757990867579908
Qwen3-8B,0.85,14.49771689497717
Qwen3-8B,0.9,17.80821917808219
Qwen Qwen2.5 7B Instruct,0.7,8.21917808219178
Qwen Qwen2.5 7B Instruct,0.75,9.703196347031962
Qwen Qwen2.5 7B Instruct,0.8,11.986301369863012
Qwen Qwen2.5 7B Instruct,0.85,15.639269406392694
Qwen Qwen2.5 7B Instruct,0.9,18.949771689497716
gemma-3-12b-it,0.7,4.337899543378995
gemma-3-12b-it,0.75,5.821917808219178
gemma-3-12b-it,0.8,6.735159817351597
gemma-3-12b-it,0.85,7.4200913242009126
gemma-3-12b-it,0.9,9.1324200913242
Llama-3.1-8B-Instruct,0.7,6.164383561643835
Llama-3.1-8B-Instruct,0.75,8.447488584474886
Llama-3.1-8B-Instruct,0.8,10.388127853881278
Llama-3.1-8B-Instruct,0.85,12.899543378995434
Llama-3.1-8B-Instruct,0.9,17.579908675799086
